Fecha de solicitud;Grupo de compras;Solicitud de pedido;Pos.solicitud pedido;Material;Pedido;Texto breve;Fabricante;Nº pieza fabricante;Cantidad solicitada;Unidad de medida;Almacén;Nombre de proveedor;Nº material de proveedor;Proveedor deseado;Proveedor fijo;Proveedor;Creado por;Fecha de liberación;Fecha orden compra;Indicador creación;Contrato marco;Pos.contrato sup.;Pedido marco;Posición pedido marco;Planif.necesidades;Clase documento;Tipo de posición;Tipo de imputación;Reg.info de compras;Unidad medida pedido;Precio de valoración;Valor total;Moneda;Centro;Solicitante;Indicador de borrado;Status tratamiento solicitud pedido;Status tratamiento;Indicador de bloqueo;Texto bloqueo;Perfil piezas fabric.;Grupo de artículos;Número de necesidad;Entrada mercancías;EM no valorada;Recepción facturas;Posición de pedido;Plazo entrega prev.;Entregas (de/a);Liberación general de solic.ped.;Urgencia necesidad;Prioridad nec.;Nº reserva;Consumo;Categoría material;Fecha Aprobación;Liberador Siguiente
12/01/2023;JB2;1000000022;30;1400386144;4500001950;OXIDO DE CALCIO CAL VIVA CONCENTRACION 8;;;3,640,000;KG;CONC;;;;;;JGONZALESC@A;12/01/2023;13/01/2023;R;;0;;0;P01;ZS01;;;;;0.45;1,638,000.00;PEN;1101;;false;05;B;;;Z001;IN0000008;;Sí;No;Sí;10;150;11/06/2023;Sí;0;0;0;;;12/01/2023;
12/01/2023;C01;1000000023;20;1300348219;;INTERFACE CARD TO PLC, PM A324 BE;ABB;HIEE401111R0006;3;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;40,525.08;121,575.24;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;112;4/05/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;30;1100350736;;UNIT CONTROL GATE GD B021;ABB;HIEE300766R0001;2;PI;CONC;ABB S.A.;;;10000318;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;5300053383;;29,716.98;59,433.96;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;11/02/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;JB2;1000000023;40;1101336254;;MCC STARTER D7017W;ABB;3BHD001023R0912;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;28,357.56;28,357.56;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C02;1000000023;70;1101328939;;THYRISTOR TYPE 5STP 2665N18 TYPE LVVB 16;ABB;;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;13,015.86;26,031.72;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;11/02/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;90;1101139492;;SIMADYN D CONVERTER SU10 26-POLE 26 SCRE;SIEMENS;6DD1681-0FG0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;4,125.41;8,250.82;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C02;1000000023;100;1101328947;;TCU-TCR ( THYRISTOR CONTROL UNIT ) TYPE;ABB;;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;2,960.10;5,920.20;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;11/02/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;140;1101163575;;SIMADYN D ANALOG IN/OUTPUT MODULE SE13.1;SIEMENS;6DD1681-0BD1;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1,251.44;1,251.44;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;150;1101163591;;SIMADYN D BINARY INPUT MODULE SB61 GALVA;SIEMENS;6DD1681-0EB3;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1,171.28;2,342.56;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;JB2;1000000023;160;1300351841;;MAIN SEAL;ABB;D41W5G074000060R;16;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;893.02;14,288.32;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;11/02/2023;Sí;0;0;0;;;28/03/2023;
